state,people_with_employer_coverage_2015,gained_coverage_by_staying_on_parents_plan_until_age_26_2013,total_with_lifetime_limit_on_health_benefits_pre_aca_2008_2010,children_with_lifetime_limit_on_benefits_pre_aca_2008_2010,adult_males_with_lifetime_limit_on_benefits_pre_aca_2008_2010,adult_females_w_lifetime_limit_on_benefits_pre_aca_2008_2010,total_w_priv_cov_no_cost_sharing_for_prev_serv_2013_2015,kids_w_priv_cov_no_cost_sharing_for_prev_serv_2013_2015,males_w_pri_cov_no_cost_sharing_for_prev_serv_2013_2015,females_w_pri_cov_no_cost_sharing_for_prev_serv_2013_2015,avg_annual_growth_in_fam_premiums_for_emp_cov_2000_2010,avg_annual_growth_family_prem_for_emp_cov_2010_2015,family_emp_prem_savings_comp_cont_growth_pre_aca_rate_2015,family_emp_prem_savings_comp_cont_growth_pre_aca_rate_2016,total_group_market_consumers_benefiting_from_mlr_rebates_2012,total_group_market_rebates_2012,total_group_market_consumers_benefiting_from_mlr_rebates_2013,total_group_market_rebates_2013,total_group_market_consumers_benefiting_from_mlr_rebates_2014,total_group_market_rebates_2014,total_group_market_consumers_benefiting_from_mlr_rebates_2015,total_group_market_rebates_2015,total_group_market_rebates_2012_2015
Alabama ,2545000,35000,1566000,396000,561000,609000,2140837,422895,831232,886709,7.1,5.2,1500,2200,0,0,0,0,0,0,0,0,0
Alaska ,390000,6000,237000,64000,87000,86000,316518,66269,126100,124149,,8.2,,,1845,708637,0,0,0,0,0,0,708637
Arizona ,3288000,50000,2091000,570000,752000,769000,2726206,598585,1066492,1061129,7.4,4.2,2900,3800,341797,16179486,256536,8248311,238461,8301175,11492,4142421,36871393
Arkansas ,1365000,21000,865000,219000,313000,333000,1102338,225176,430226,446936,6.4,3.8,1900,2400,110844,2629919,44206,4519181,40087,5143882,44160,3101489,15394471
California,19552000,294000,12092000,3255000,4389000,4448000,15867909,3351780,6191627,6324503,8.3,5.5,2500,3600,1088504,47272420,422403,8696667,230786,32235960,287077,36705696,124910743
Colorado,2949000,40000,1902000,521000,685000,696000,2519638,556491,972911,990235,7,4.8,1900,2600,112067,10189712,14926,1474433,97387,4918285,5320,1588937,18171367
Connecticut,2148000,25000,1386000,367000,494000,525000,1819938,364693,708801,746444,7.4,4.2,3000,4000,21613,4266585,31734,2638239,22166,1834954,0,0,8739778
Delaware ,564000,7000,320000,86000,113000,121000,417265,84080,161610,171575,,5.2,,,2186,727951,3176,242249,12110,1470435,3805,151507,2592142
District of Columbia,388000,6000,208000,34000,83000,91000,281235,39399,114305,127531,,4.7,,,209593,5064210,164023,11151522,41340,14488017,252618,18040941,48744690
Florida ,8847000,132000,5587000,1411000,2006000,2170000,7289873,1423940,2841807,3024126,8.2,1.3,6300,7600,297061,14794868,622688,23692538,592343,33422223,615309,37373499,109283128
Georgia ,5240000,74000,3317000,916000,1145000,1256000,4187077,883809,1598625,1704643,7,5.7,1100,1800,111390,10609166,124226,5629096,28337,2033244,203158,7369544,25641050
Hawaii,867000,9000,462000,115000,174000,173000,631152,120194,254510,256448,,5.8,,,39589,1551371,67722,4889432,1377,1395611,1273,1156997,8993411
Idaho,836000,11000,566000,173000,195000,198000,699703,170463,267497,261743,,8,,,27291,2085935,29289,1341917,0,0,0,0,3427852
Illinois ,7359000,91000,4670000,1192000,1735000,1743000,5883105,1189924,2312855,2380326,7.4,3.2,3800,4700,87108,3230602,46455,4504395,7409,1820520,12883,1788113,11343630
Indiana ,3825000,50000,2259000,615000,822000,822000,2915827,627525,1121576,1166726,7.7,4.3,3000,3900,264505,21710342,248410,11425200,249420,11630435,216856,7813231,52579208
Iowa ,1862000,24000,1187000,311000,443000,433000,1530502,322124,604268,604110,7.4,4.2,2700,3500,1654,138914,11328,1101411,0,0,20058,1512470,2752795
Kansas ,1659000,22000,1021000,279000,368000,374000,1310249,290340,495399,524509,8,4.5,3000,4000,27097,1294972,28039,1328139,17559,1530640,2959,1385988,5539739
Kentucky,2316000,31000,1414000,362000,524000,528000,1884719,378519,743303,762897,6.5,4.5,1700,2300,97499,3439372,100523,1176180,51330,858981,0,0,5474533
Louisiana ,2295000,34000,1411000,385000,488000,538000,1743084,358711,670731,713642,7.3,5.4,1600,2400,75541,1257332,113734,3837750,52201,219013,0,0,5314095
Maine ,702000,8000,431000,103000,156000,172000,588281,107573,229386,251322,,2,,,8796,501240,19542,1845006,4449,160821,0,0,2507067
Maryland,3700000,41000,2251000,585000,794000,872000,2953834,582300,1146439,1225095,6.7,5.2,1300,2000,105405,6244641,153791,12132398,123464,17654815,288534,45189590,81221444
Massachusetts,4232000,52000,2520000,633000,912000,975000,3399092,654577,1332122,1412394,7.1,4.8,2100,3000,173454,34250845,171224,12285220,83499,10093885,3935,157139,56787089
Michigan ,5876000,73000,3547000,977000,1255000,1315000,4543547,957503,1742639,1843405,6.8,3.5,2600,3300,120215,8267803,85443,5460961,376228,17934552,595356,31440160,63103476
Minnesota,3319000,38000,2043000,553000,736000,754000,2761583,609487,1076734,1075362,7.2,4,2700,3600,1101,451574,1915,523254,0,0,1508,65797,1040625
Mississippi ,1326000,22000,844000,223000,294000,327000,1160553,242244,451221,467087,8.7,3.2,4700,6000,33782,2301354,40084,2073696,38890,3037442,35650,4188916,11601408
Missouri ,3389000,44000,2148000,581000,775000,792000,2778803,596633,1084657,1097512,6.6,5.7,700,1300,385823,16126519,244764,10752433,206610,13004025,185563,16341955,56224932
Montana ,510000,7000,319000,81000,122000,116000,401717,83639,157979,160099,,7.1,,,541,141882,262,6840,0,0,0,0,148722
Nebraska ,1100000,14000,701000,192000,252000,257000,923926,201150,361309,361467,6.9,4.1,2300,3000,28020,654321,15032,1150368,86,67849,747,95032,1967570
Nevada,1505000,19000,937000,269000,339000,329000,1168797,261378,451754,455665,,6.9,,,50969,3189949,53048,3318456,24101,3493603,28636,6175582,16177590
New Hampshire ,853000,9000,545000,140000,197000,208000,690524,132043,272532,285949,7.3,4.8,2400,3300,13004,673453,12795,1457985,281,132855,0,0,2264293
New Jersey ,5450000,59000,3274000,877000,1183000,1214000,4210183,887353,1621714,1701115,6.4,5.4,800,1400,220011,10768382,42300,3434389,20320,1161336,116900,2634720,17998827
New Mexico,884000,15000,555000,148000,194000,213000,735472,151593,278722,305157,8.5,4.3,3800,5100,16762,158714,0,0,10703,1266980,0,0,1425694
New York,10895000,147000,6432000,1609000,2294000,2529000,8619856,1666177,3371547,3582133,7.6,5.9,1600,2500,608740,27943748,571041,10125994,285390,6657645,276804,23154640,67882027
North Carolina ,4934000,70000,3091000,804000,1101000,1186000,3966308,813423,1521574,1631312,7.5,4.7,2400,3300,170192,7678199,136641,5757595,147076,6535508,49235,7588265,27559567
North Dakota ,450000,7000,253000,66000,94000,93000,359032,75742,142235,141055,7.4,5,1900,2700,0,0,0,0,0,0,0,0,0
Ohio ,6831000,81000,4154000,1100000,1512000,1542000,5240575,1070945,2049292,2120337,7.1,5.3,1500,2300,4158,126190,31802,777679,28722,1098474,63490,1187002,3189345
Oklahoma ,1948000,29000,1197000,317000,430000,450000,1556695,330670,598873,627152,6.4,5.4,800,1300,174513,10212156,70381,5604352,74671,5488984,26001,1871932,23177424
Oregon,2070000,28000,1356000,342000,485000,529000,1737240,346157,669765,721318,7.5,4.5,2600,3500,10918,2064985,26110,1615836,28010,2540524,9375,144946,6366291
Pennsylvania ,7502000,89000,4582000,1136000,1677000,1769000,6127383,1170391,2445708,2511285,7.3,5.1,1900,2700,37218,821449,2662,707524,244,86004,1480,254243,1869220
Rhode Island,597000,8000,374000,89000,138000,147000,484193,90706,191892,201595,,3.5,,,1265,18053,710,48696,0,0,0,0,66749
South Carolina ,2487000,35000,1458000,397000,495000,566000,1955568,406798,726416,822354,7.2,4.8,2000,2800,13541,153575,98621,2855793,7201,600331,26,1387,3611086
South Dakota ,449000,6000,295000,82000,104000,109000,392422,85614,152850,153957,6.4,5.2,900,1400,784,41240,867,2582,0,0,0,0,43822
Tennessee ,3369000,47000,2042000,523000,744000,775000,2745436,549675,1076050,1119711,6.9,4.2,2100,2800,79428,1968764,281481,6401466,26110,1303715,25197,2408730,12082675
Texas ,13709000,205000,7536000,2094000,2671000,2771000,10278005,2258657,3990134,4029215,8.1,3.5,4300,5400,100975,5435404,42097,1870997,26009,5845356,18925,6930691,20082448
Utah ,1897000,25000,1183000,411000,385000,387000,1509455,431216,538759,539479,7.2,4.9,1900,2600,89203,3850128,93127,2486251,703,337213,1172,201132,6874724
Vermont,345000,5000,215000,46000,82000,87000,285858,47185,115781,122892,,5.6,,,5248,126810,0,0,0,0,0,0,126810
Virginia ,4850000,59000,2974000,817000,1036000,1121000,3902716,847534,1467520,1587663,7.6,4.8,2500,3400,216242,10272687,69062,8085302,163018,10625792,246593,15982185,44965966
Washington,3986000,50000,2427000,580000,910000,937000,3079369,596597,1224572,1258201,8.1,3.2,4300,5500,381,20550,0,0,31694,129860,2897,441587,591997
West Virginia ,976000,12000,581000,147000,215000,219000,772905,152226,304602,316077,7.6,5.2,2100,3000,1954,271978,1186,285783,457,106185,7055,737553,1401499
Wisconsin ,3521000,41000,2142000,580000,771000,791000,2804258,573028,1107770,1123460,7.4,4,3100,4100,99129,2802562,0,0,2033,201289,0,0,3003851
Wyoming,335000,4000,196000,54000,73000,69000,267259,58596,107459,101204,,4.1,,,3049,1275555,2120,795143,484,266734,0,0,2337432
